model,company,total_B,total_low_B,total_high_B,active_B,active_low_B,active_high_B,source,source_type,date,method,corroboration
Grok 3,xAI,3000,—,—,—,—,—,Epoch AI model database,database_entry,2025-02-17,Recorded at Likely confidence with no parameters note,"IKP reads 2.1T, inside Epoch band. At the 15-30x sparsity of the 2026 reference class, 3T total implies 100-200B active"
Grok 4,xAI,3000,—,—,—,—,—,Epoch AI model database,database_entry,2025-07-09,"Recorded at Speculative confidence, citing a rumour of 2.4T","Epoch published figure is 1.25x above the rumour it cites; IKP reads 2.0T, closer to the rumour than to Epoch entry"
Grok 4,xAI,2400,—,—,—,—,—,"@kalomaze, X, cited by Epoch",rumor,2025-07,Unexplained assertion,Bracketed by Epoch 3T and IKP 2.0T
Grok 4.20,xAI,500,—,—,—,—,—,"Elon Musk on X, recorded by Epoch at Likely",developer_statement,2026-02-17,"This is just our V8 small foundation model, so 500B params",Corroborated by IKP 689B within 1.4x. This is the closest agreement between a developer statement and an independent instrument anywhere in the survey
"Grok 4.3, Grok 4.4",xAI,500,—,—,—,—,—,"Elon Musk on X, recorded by Epoch at Likely",developer_statement,2026-04-17,Supplemental training has been added to 4.3. Grok 4.4 will be twice the size (1T),Consistent with the 4.20 statement; the 500B V8 foundation appears in three separate Musk statements
Grok 4.5,xAI,1500,—,—,—,—,—,"Elon Musk on X, recorded by Epoch at Likely",developer_statement,2026-07-08,"Stated on X that Grok 4.5 would have 1.5 trillion parameters, presumably total",Consistent with the V9 foundation described as about 3x larger than v8-small. No independent check; IKP has no Grok 4.5 row
Grok-3,xAI,2100,642,6600,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing; total, not active","Grok-4.20 agrees with Musk 500B within 1.4x; Grok-3 and Grok-4 sit 1.4-1.5x below Epoch 3T, inside both error bars"
Grok-4,xAI,2000,619,6300,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing; total, not active","Grok-4.20 agrees with Musk 500B within 1.4x; Grok-3 and Grok-4 sit 1.4-1.5x below Epoch 3T, inside both error bars"
Grok-4.20,xAI,689,215,2200,—,—,—,"Bojie Li, arXiv 2604.24827 (IKP)",academic_instrument,2026-07-05,"Factual-capacity probing; total, not active","Grok-4.20 agrees with Musk 500B within 1.4x; Grok-3 and Grok-4 sit 1.4-1.5x below Epoch 3T, inside both error bars"
Kimi K3,Moonshot,2800,—,—,104,—,—,Epoch AI model database,database_entry,2026-07-16,Recorded at Speculative confidence; 104 billion active parameters,"The largest active count in the 2026 open reference class, and the anchor the dataset 100B frontier prior leans on"
Qwen3.8-Max,Alibaba,2400,—,—,95,—,—,Epoch AI model database,database_entry,2026-07-19,"Recorded at Confident; 2.4T total, 95B active",Second-largest disclosed 2026 active count
GLM-5.2,Z.ai,744,—,—,40,—,—,Epoch AI model database,database_entry,2026-06-16,Recorded at Confident; 40 billion active,"IKP reads 1.0T total against a known 744B, high by 1.4x, which is well inside its interval"
