point_id,source_dataset,old_label,action,new_label,scores_used,reason
reas-epoch-mathl5-yi34b,Epoch AI benchmarks,below,exclude,,AI 5.145% vs assumed IMO-gold baseline 90%,AI 0.06 of human on the benchmark metric
reas-epoch-otis-claude2,Epoch AI benchmarks,below,exclude,,AI 2.5% vs contest mean 51.55%,AI 0.05 of human on the benchmark metric
reas-epoch-otis-claude21,Epoch AI benchmarks,below,exclude,,AI 1.944% vs contest mean 51.55%,AI 0.04 of human on the benchmark metric
reas-epoch-otis-gemini10pro,Epoch AI benchmarks,below,exclude,,AI 1.111% vs contest mean 51.55%,AI 0.02 of human on the benchmark metric
reas-epoch-otis-gemini15flash1,Epoch AI benchmarks,below,exclude,,AI 3.889% vs contest mean 51.55%,AI 0.08 of human on the benchmark metric
reas-epoch-otis-gemini15flash2,Epoch AI benchmarks,below,exclude,,AI 16.25% vs contest mean 51.55%,AI 0.32 of human on the benchmark metric
reas-epoch-otis-gemini15flash8b,Epoch AI benchmarks,below,exclude,,AI 4.583% vs contest mean 51.55%,AI 0.09 of human on the benchmark metric
reas-epoch-otis-gemini15pro1,Epoch AI benchmarks,below,exclude,,AI 6.806% vs contest mean 51.55%,AI 0.13 of human on the benchmark metric
reas-epoch-otis-gemini15pro2,Epoch AI benchmarks,below,exclude,,AI 23.06% vs contest mean 51.55%,"AI 0.45 of human on the benchmark metric (borderline, ratio 0.45)"
reas-epoch-otis-gemini20flash,Epoch AI benchmarks,below,keep_below,below,AI 31.11% vs contest mean 51.55%,AI 0.60 of human on the benchmark metric
reas-epoch-otis-gemma2-27b,Epoch AI benchmarks,below,exclude,,AI 1.389% vs contest mean 51.55%,AI 0.03 of human on the benchmark metric
reas-epoch-otis-gemma2-9b,Epoch AI benchmarks,below,exclude,,AI 0.5556% vs contest mean 51.55%,AI 0.01 of human on the benchmark metric
reas-epoch-otis-gemma3-27b,Epoch AI benchmarks,below,exclude,,AI 19.72% vs contest mean 51.55%,AI 0.38 of human on the benchmark metric
reas-epoch-otis-gpt41,Epoch AI benchmarks,below,keep_below,below,AI 38.33% vs contest mean 51.55%,AI 0.74 of human on the benchmark metric
reas-epoch-otis-gpt41mini,Epoch AI benchmarks,below,keep_below,below,AI 44.72% vs contest mean 51.55%,AI 0.87 of human on the benchmark metric
reas-epoch-otis-gpt41nano,Epoch AI benchmarks,below,keep_below,below,AI 28.89% vs contest mean 51.55%,"AI 0.56 of human on the benchmark metric (borderline, ratio 0.56)"
reas-epoch-otis-gpt45,Epoch AI benchmarks,below,keep_below,below,AI 37.78% vs contest mean 51.55%,AI 0.73 of human on the benchmark metric
reas-epoch-otis-gpt4o-0513,Epoch AI benchmarks,below,exclude,,AI 6.25% vs contest mean 51.55%,AI 0.12 of human on the benchmark metric
reas-epoch-otis-gpt4o-0806,Epoch AI benchmarks,below,exclude,,AI 6.389% vs contest mean 51.55%,AI 0.12 of human on the benchmark metric
reas-epoch-otis-gpt4o-1120,Epoch AI benchmarks,below,exclude,,AI 6.25% vs contest mean 51.55%,AI 0.12 of human on the benchmark metric
reas-epoch-otis-gpt4turbo,Epoch AI benchmarks,below,exclude,,AI 6.667% vs contest mean 51.55%,AI 0.13 of human on the benchmark metric
reas-epoch-otis-grok2,Epoch AI benchmarks,below,exclude,,AI 11.53% vs contest mean 51.55%,AI 0.22 of human on the benchmark metric
reas-epoch-otis-haiku3,Epoch AI benchmarks,below,exclude,,AI 1.806% vs contest mean 51.55%,AI 0.04 of human on the benchmark metric
reas-epoch-otis-haiku35,Epoch AI benchmarks,below,exclude,,AI 4.306% vs contest mean 51.55%,AI 0.08 of human on the benchmark metric
reas-epoch-otis-hermes70b,Epoch AI benchmarks,below,exclude,,AI 2.5% vs contest mean 51.55%,AI 0.05 of human on the benchmark metric
reas-epoch-otis-llama2-70b,Epoch AI benchmarks,below,exclude,,AI 0% vs contest mean 51.55%,AI 0.00 of human on the benchmark metric
reas-epoch-otis-llama3-70b,Epoch AI benchmarks,below,exclude,,AI 4.306% vs contest mean 51.55%,AI 0.08 of human on the benchmark metric
reas-epoch-otis-llama3-8b,Epoch AI benchmarks,below,exclude,,AI 0.8333% vs contest mean 51.55%,AI 0.02 of human on the benchmark metric
reas-epoch-otis-llama32-90b,Epoch AI benchmarks,below,exclude,,AI 2.639% vs contest mean 51.55%,AI 0.05 of human on the benchmark metric
reas-epoch-otis-llama33-70b,Epoch AI benchmarks,below,exclude,,AI 5.139% vs contest mean 51.55%,AI 0.10 of human on the benchmark metric
reas-epoch-otis-llama4-maverick,Epoch AI benchmarks,below,exclude,,AI 20.56% vs contest mean 51.55%,AI 0.40 of human on the benchmark metric
reas-epoch-otis-llama4-scout,Epoch AI benchmarks,below,exclude,,AI 7.778% vs contest mean 51.55%,AI 0.15 of human on the benchmark metric
reas-epoch-otis-mistrallarge2402,Epoch AI benchmarks,below,exclude,,AI 1.944% vs contest mean 51.55%,AI 0.04 of human on the benchmark metric
reas-epoch-otis-mistrallarge2407,Epoch AI benchmarks,below,exclude,,AI 8.472% vs contest mean 51.55%,AI 0.16 of human on the benchmark metric
reas-epoch-otis-mistrallarge2411,Epoch AI benchmarks,below,exclude,,AI 7.778% vs contest mean 51.55%,AI 0.15 of human on the benchmark metric
reas-epoch-otis-mistralsmall2501,Epoch AI benchmarks,below,exclude,,AI 5.278% vs contest mean 51.55%,AI 0.10 of human on the benchmark metric
reas-epoch-otis-mistralsmall2503,Epoch AI benchmarks,below,exclude,,AI 5.833% vs contest mean 51.55%,AI 0.11 of human on the benchmark metric
reas-epoch-otis-o1prev,Epoch AI benchmarks,below,keep_below,below,AI 31.11% vs contest mean 51.55%,AI 0.60 of human on the benchmark metric
reas-epoch-otis-opus3,Epoch AI benchmarks,below,exclude,,AI 4.722% vs contest mean 51.55%,AI 0.09 of human on the benchmark metric
reas-epoch-otis-phi4,Epoch AI benchmarks,below,exclude,,AI 13.75% vs contest mean 51.55%,AI 0.27 of human on the benchmark metric
reas-epoch-otis-qwen25-32b,Epoch AI benchmarks,below,exclude,,AI 7.361% vs contest mean 51.55%,AI 0.14 of human on the benchmark metric
reas-epoch-otis-qwen25-72b,Epoch AI benchmarks,below,exclude,,AI 8.056% vs contest mean 51.55%,AI 0.16 of human on the benchmark metric
reas-epoch-otis-qwenmax25,Epoch AI benchmarks,below,exclude,,AI 16.11% vs contest mean 51.55%,AI 0.31 of human on the benchmark metric
reas-epoch-otis-qwenplus25,Epoch AI benchmarks,below,exclude,,AI 17.78% vs contest mean 51.55%,AI 0.34 of human on the benchmark metric
reas-epoch-otis-qwenturbo24,Epoch AI benchmarks,below,exclude,,AI 6.111% vs contest mean 51.55%,AI 0.12 of human on the benchmark metric
reas-epoch-otis-sonnet3,Epoch AI benchmarks,below,exclude,,AI 2.5% vs contest mean 51.55%,AI 0.05 of human on the benchmark metric
reas-epoch-otis-sonnet35-0620,Epoch AI benchmarks,below,exclude,,AI 6.528% vs contest mean 51.55%,AI 0.13 of human on the benchmark metric
reas-epoch-otis-sonnet35-1022,Epoch AI benchmarks,below,exclude,,AI 8.472% vs contest mean 51.55%,AI 0.16 of human on the benchmark metric
reas-epoch-otis-sonnet37,Epoch AI benchmarks,below,exclude,,AI 21.94% vs contest mean 51.55%,"AI 0.43 of human on the benchmark metric (borderline, ratio 0.43)"
reas-epoch-otis-tulu3-70b,Epoch AI benchmarks,below,exclude,,AI 4.444% vs contest mean 51.55%,AI 0.09 of human on the benchmark metric
reas-epoch-otis-v3,Epoch AI benchmarks,below,exclude,,AI 15.83% vs contest mean 51.55%,AI 0.31 of human on the benchmark metric
reas-epoch-otis-v3-0324,Epoch AI benchmarks,below,keep_below,below,AI 37.78% vs contest mean 51.55%,AI 0.73 of human on the benchmark metric
reas-epoch-gpqa-gemma2-9b,Epoch AI original output-length table / GPQA Diamond,above,above,above,"AI 27.46% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gpt35-0125,Epoch AI original output-length table / GPQA Diamond,above,above,above,"AI 27.18% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gpt35-1106,Epoch AI original output-length table / GPQA Diamond,above,above,above,"AI 28.03% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-gpt4-0613,Epoch AI original output-length table / GPQA Diamond,above,above,above,"AI 30.65% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-llama31-405b,Epoch AI original output-length table / GPQA Diamond,above,far_above,far_above,"AI 50.92% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-ministral8b,Epoch AI original output-length table / GPQA Diamond,above,above,above,"AI 27.15% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-mixtral8x7b,Epoch AI original output-length table / GPQA Diamond,above,above,above,"AI 30.59% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-mixtral8x7b-api,Epoch AI original output-length table / GPQA Diamond,above,above,above,"AI 29.83% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-nemo,Epoch AI original output-length table / GPQA Diamond,above,above,above,"AI 29.89% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-o1high,Epoch AI original output-length table / GPQA Diamond,above,far_above,far_above,"AI 76.77% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-phi3-medium,Epoch AI original output-length table / GPQA Diamond,above,above,above,"AI 27.59% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-qwen15-32b,Epoch AI original output-length table / GPQA Diamond,above,above,above,"AI 30.74% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-qwen15-72b,Epoch AI original output-length table / GPQA Diamond,above,above,above,"AI 28.82% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-r1,Epoch AI original output-length table / GPQA Diamond,above,far_above,far_above,"AI 71.72% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-r1distill70b,Epoch AI original output-length table / GPQA Diamond,above,far_above,far_above,"AI 55.74% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-v3,Epoch AI original output-length table / GPQA Diamond,above,far_above,far_above,"AI 56.53% vs domain-novice validators 22.05%, four-choice chance 25%",validators score below chance while the AI is well clear of it
reas-epoch-gpqa-yi15-34b,Epoch AI original output-length table / GPQA Diamond,above,above,above,"AI 31.98% vs domain-novice validators 22.05%, four-choice chance 25%",AI above the validator baseline but not clearly doing the job itself (25-50%% band held at above)
reas-epoch-gpqa-mistral7b-api,Epoch AI original output-length table / GPQA Diamond,below,exclude,,"AI 13.23% vs domain-novice validators 22.05%, four-choice chance 25%",AI at or below the 25% chance floor
reas-epoch-gpqa-mistral7bv03,Epoch AI original output-length table / GPQA Diamond,below,exclude,,"AI 15.18% vs domain-novice validators 22.05%, four-choice chance 25%",AI at or below the 25% chance floor
reas-epoch-gpqa-yi34b,Epoch AI original output-length table / GPQA Diamond,below,exclude,,"AI 14.74% vs domain-novice validators 22.05%, four-choice chance 25%",AI at or below the 25% chance floor
perc-imagenet-gpt4o,FM Vision Evals / Evaluating Machine Accuracy on ImageNet,below,keep_below,below,77.20% vs human mean 82.1%,completed classification at slightly lower accuracy
perc-geolocation-fairlocator-gpt4o,FairLocator,above,far_above,far_above,continent/country/city 86.0/74.0/63.3% vs students 33.7/9.5/1.7%,students essentially cannot geolocate to country or city
perc-birdsong-birdnet,Funosas et al. 2026 global BirdNET assessment / WABAD,below,undecidable,,"precision 0.57-0.71, recall 0.24-0.52 vs expert reference",the two reported metrics straddle the half threshold and no headline metric is named
work-gdpval-105f8ad0-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 68% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-19403010-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 68% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-2696757c-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 69% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-2c249e0f-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 68% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-36d567ba-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 69% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-3a4c347c-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 75% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-401a07f1-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 75% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-4122f866-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 68% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-4c18ebae-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 69% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-69a8ef86-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 79% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-74ed1dc7-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 79% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-788d2bc6-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 79% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-7bbfcfe9-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 69% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-7de33b48-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 68% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-7ed932dd-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 68% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-854f3814-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 68% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-9a8c8e28-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 75% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-a69be28f-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 79% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-ab81b076-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 68% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-afe56d05-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 75% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-b3573f20-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 79% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-d7cfae6f-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 68% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-dfb4e0cd-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 69% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-ec2fccc9-gpt5,GDPval,above,above,above,occupation-level wins-or-ties 75% against expert deliverables,collection-level transfer; a modest preference edge over expert work
work-gdpval-01d7e53e-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 40% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-02aa1805-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 26% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-0353ee0c-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 33% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-0419f1c3-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 17% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-045aba2e-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 13% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-05389f78-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 41% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-0e4fe8cd-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 23% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-0ec25916-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 31% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-1137e2bb-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 23% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-11593a50-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 20% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-116e791e-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 31% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-11e1b169-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 37% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-15d37511-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 29% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-15ddd28d-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 41% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-17111c03-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 43% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-1aecc095-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 33% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-1b1ade2d-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 41% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-1bff4551-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 40% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-1d4672c8-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 29% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-1e5a1d7f-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 17% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-211d0093-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 34% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-22c0809b-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 37% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-24d1e93f-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 41% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-27e8912c-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 43% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-2fa8e956-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 23% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-3600de06-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 20% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-38889c3b-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 30% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-3940b7e7-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 25% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-3baa0009-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 40% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-3c19c6d1-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 26% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-3f625cb2-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 46% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-403b9234-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 40% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-40a8c4b1-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 33% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-40a99a31-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 9% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-41f6ef59-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 44% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-4520f882-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 11% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-45c6237b-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 34% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-46b34f78-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 33% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-47ef842d-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 23% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-4b894ae3-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 30% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-4b98ccce-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 44% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-4c4dc603-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 29% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-4d1a8410-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 33% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-4de6a529-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 29% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-55ddb773-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 17% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-575f8679-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 21% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-58ac1cc5-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 26% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-5a2d70da-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 25% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-5ad0c554-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 20% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-5d0feb24-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 40% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-5e2b6aab-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 25% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-5f6c57dd-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 11% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-60221cd0-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 40% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-6241e678-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 29% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-650adcb1-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 40% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-664a42e5-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 20% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-6974adea-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 40% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-6a900a40-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 29% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-6dcae3f5-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 33% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-7151c60a-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 31% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-75401f7c-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 17% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-76d10872-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 21% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-7b08cd4d-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 15% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-7d7fc9a7-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 15% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-8077e700-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 25% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-8079e27d-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 33% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-8384083a-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 13% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-83d10b06-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 15% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-85d95ce5-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 21% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-8a7b6fca-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 9% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-8c823e32-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 37% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-8c8fc328-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 17% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-90edba97-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 30% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-90f37ff3-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 20% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
work-gdpval-91060ff0-gpt5,GDPval,below,keep_below,below,occupation-level wins-or-ties 13% against expert deliverables,collection-level transfer; complete deliverable preferred less often than the expert
